country,Country id,Date,CRISIS,CAB_Y,EXP_G,STED_R,FXR_G,REER,CRISIS_1
Vietnam,1,2008Q4 [YR2008Q4],0,-10.91795299,-0.311461375,20.27509854,0.017498654,11.86999,0
Vietnam,1,2009Q1 [YR2009Q1],0,-9.746739799,-0.191444935,24.35056995,-0.129667118,13.18663,1
Vietnam,1,2009Q2 [YR2009Q2],1,-8.575526609,0.00130113,25.54728642,-0.089926465,6.184049,1
Vietnam,1,2009Q3 [YR2009Q3],0,-7.404313419,0.361081543,24.18278326,-0.212998161,3.66117,1
Vietnam,1,2009Q4 [YR2009Q4],0,-6.233100228,0.431482567,34.56698152,-0.311555813,-2.363717,0
Vietnam,1,2010Q1 [YR2010Q1],0,-5.401053653,0.335886451,43.62479853,-0.397873251,-2.178993,0
Vietnam,1,2010Q2 [YR2010Q2],0,-4.569007078,0.189799589,46.13558303,-0.303031422,1.970864,0
Vietnam,1,2010Q3 [YR2010Q3],0,-3.736960503,0.242309781,49.67125902,-0.248150673,-5.058387,0
Vietnam,1,2010Q4 [YR2010Q4],1,-2.904913928,0.269178063,62.69454573,-0.242018503,-3.004276,1
Vietnam,1,2011Q1 [YR2011Q1],0,-2.144501564,0.30553902,70.94586509,-0.117911953,-12.68575,0
Vietnam,1,2011Q2 [YR2011Q2],0,-1.3840892,0.29577512,67.59026343,0.078849823,-8.986613,0
Vietnam,1,2011Q3 [YR2011Q3],0,-0.623676835,0.195725749,68.02180878,0.087585576,-5.283001,0
Vietnam,1,2011Q4 [YR2011Q4],0,0.136735529,0.158385565,95.32903902,0.086031343,-3.435714,1
Vietnam,1,2012Q1 [YR2012Q1],0,1.307736069,0.0500996,74.43801495,0.456528133,-3.721801,0
Vietnam,1,2012Q2 [YR2012Q2],0,2.478736609,0.053183129,71.05862206,0.320053261,-1.763838,0
Vietnam,1,2012Q3 [YR2012Q3],0,3.64973715,0.096577611,68.65487042,0.412174038,-3.362853,0
Vietnam,1,2012Q4 [YR2012Q4],0,4.82073769,0.184763784,55.49907466,0.888843892,-2.70622,0
Vietnam,1,2013Q1 [YR2013Q1],0,4.521566815,0.222010546,49.35390702,0.598047541,1.701615,0
Vietnam,1,2013Q2 [YR2013Q2],0,4.22239594,0.271783747,59.16395199,0.239917234,1.779178,1
Vietnam,1,2013Q3 [YR2013Q3],0,3.923225066,0.212061977,59.55198268,0.127525103,1.053657,0
Vietnam,1,2013Q4 [YR2013Q4],0,3.624054191,0.161190013,54.27399388,0.012521171,1.14155,0
Vietnam,1,2014Q1 [YR2014Q1],0,3.720289641,0.111077339,46.0982558,0.186681532,0.114287,0
Vietnam,1,2014Q2 [YR2014Q2],0,3.81652509,0.140585415,45.07999119,0.435715515,-1.442836,0
Vietnam,1,2014Q3 [YR2014Q3],0,3.91276054,0.23313179,43.2920373,0.506826192,1.089331,0
Vietnam,1,2014Q4 [YR2014Q4],0,4.008995989,0.162563635,44.37633837,0.320384748,7.154023,1
Vietnam,1,2015Q1 [YR2015Q1],0,2.793482804,0.106120234,45.67538259,0.093515212,11.49447,0
Vietnam,1,2015Q2 [YR2015Q2],0,1.577969618,0.055404674,48.39298194,0.042857967,8.421017,0
Vietnam,1,2015Q3 [YR2015Q3],1,0.362456432,-0.000131913,51.93355148,-0.167568692,8.796607,1
Vietnam,1,2015Q4 [YR2015Q4],1,-0.853056754,-0.062341377,53.59279065,-0.173712299,10.06458,1
Vietnam,1,2016Q1 [YR2016Q1],0,-0.579017592,0.061597002,45.669117,-0.143389088,7.44801,0
Vietnam,1,2016Q2 [YR2016Q2],0,-0.304978429,0.08870184,44.37057976,-0.062835988,5.525699,0
Vietnam,1,2016Q3 [YR2016Q3],0,-0.030939267,0.075637719,42.30054098,0.227468457,3.759662,0
Vietnam,1,2016Q4 [YR2016Q4],0,0.243099895,0.198466577,46.35465022,0.292989783,11.88087,0
Vietnam,1,2017Q1 [YR2017Q1],0,0.035801014,0.132849893,44.25691845,0.196424653,8.119912,0
Vietnam,1,2017Q2 [YR2017Q2],0,-0.171497868,0.160748952,45.4831801,0.120259153,1.681893,0
Vietnam,1,2017Q3 [YR2017Q3],0,-0.37879675,0.182235398,47.1215501,0.099206115,-1.436275,0
Vietnam,1,2017Q4 [YR2017Q4],0,-0.586095632,0.14275425,43.40858384,0.343531546,-1.259737,0
Vietnam,1,2018Q1 [YR2018Q1],0,0.038182821,0.113742816,36.13760645,0.487357596,-6.090581,0
